"PickUP Ship","PickUP Ship"
"PickUP Location Information", "PickUP Location Information"
"lat", "lat"
"lng", "lng"
"title","Business Name"
"street","Street"
"city","City"
"zip","Info"
"iid","Pickup Location Id"
"dist","Dist"
"Print WB Labels","Print WB Labels"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Minimum for Free Shipping","Minimum for Free Shipping"
"Minimum subtotal amount to get free shipping", "Minimum subtotal amount to get free shipping"
